# Created by LNB-MDT v1.0
# Multi-Radius Density Analysis - Radius Layer Summary
# Parameters:{'CHOL': ['ROH'], 'DPPC': ['PO4'], 'DUPC': ['PO4']}, {'N2': ['N2']}, MaxRadius:50, Segments:5, MW:14
# Total Radius Layers: 5
# Max Radius: 50Å
# Number Segments: 5

Radius_Layer,Inner_Radius_A,Outer_Radius_A,Radius_Range,Volume_m3,Volume_A3,Mean_Density,Max_Density,Min_Density
1,0.0,10.0,0.0-10.0Å,4.1887902047863914e-27,4188.790204786392,53.07135989908966,105.44897653152451,16.6498383997144
2,10.0,20.0,10.0-20.0Å,2.932153143350474e-26,29321.531433504744,55.46972947809611,77.69924586533385,38.849622932666925
3,20.0,30.0,20.0-30.0Å,7.958701389094142e-26,79587.01389094142,56.79931713727133,65.72304631466211,46.44428606236122
4,30.0,40.0,30.0-40.0Å,1.549852375770965e-25,154985.2375770965,58.15256058188536,66.59935359885759,47.09954286045334
5,40.0,50.0,40.0-50.0Å,2.5551620249196985e-25,255516.20249196986,80.22060459020865,89.34503447278438,71.23947249713866

