# Created by LNB-MDT v1.0
# Multi-Radius Density Analysis - Radius Layer Density Values
# Parameters:{'CHOL': ['ROH'], 'DPPC': ['PO4'], 'DUPC': ['PO4']}, {'N2': ['N2']}, MaxRadius:50, Segments:5, MW:14
# TYPE:Density With Radius
# Total Radius Layers: 5
# Max Radius: 50Å
# Number Segments: 5

Radius_Layer,Inner_Radius_A,Outer_Radius_A,Radius_Range,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1,0.0,10.0,0.0-10.0Å,66.5993535988576,27.74973066619066,38.84962293266693,83.249191998572,44.39956906590506,72.14929973209573,33.2996767994288,38.84962293266693,94.34908426504826,38.84962293266693,66.5993535988576,22.19978453295253,44.39956906590506,44.39956906590506,94.34908426504826,44.39956906590506,49.94951519914319,55.49946133238132,55.49946133238132,49.94951519914319,61.04940746561947,61.04940746561947,38.84962293266693,83.249191998572,33.2996767994288,72.14929973209573,27.74973066619066,66.5993535988576,61.04940746561947,61.04940746561947,66.5993535988576,94.34908426504826,55.49946133238132,61.04940746561947,66.5993535988576,33.2996767994288,61.04940746561947,49.94951519914319,27.74973066619066,27.74973066619066,22.19978453295253,16.6498383997144,38.84962293266693,27.74973066619066,33.2996767994288,33.2996767994288,49.94951519914319,72.14929973209573,66.5993535988576,55.49946133238132,22.19978453295253,72.14929973209573,55.49946133238132,49.94951519914319,61.04940746561947,33.2996767994288,38.84962293266693,77.69924586533386,94.34908426504826,49.94951519914319,44.39956906590506,61.04940746561947,38.84962293266693,49.94951519914319,55.49946133238132,61.04940746561947,55.49946133238132,77.69924586533386,55.49946133238132,61.04940746561947,72.14929973209573,33.2996767994288,33.2996767994288,49.94951519914319,105.44897653152451,88.79913813181012,27.74973066619066,66.5993535988576,16.6498383997144,44.39956906590506
2,10.0,20.0,10.0-20.0Å,61.04940746561946,57.08516022759221,50.74236464674864,39.64247238027237,67.39220304646304,55.49946133238132,61.8422569132249,61.04940746561946,38.849622932666925,50.74236464674864,61.04940746561946,61.04940746561946,51.53521409435408,62.63510636083035,67.39220304646304,55.49946133238132,62.63510636083035,60.256558018014005,43.60671961829961,61.8422569132249,63.42795580843579,56.29231077998677,42.02102072308872,62.63510636083035,53.91376243717043,58.670859122803115,48.363816303932296,49.94951519914319,50.74236464674864,54.706611884775874,53.12091298956498,57.08516022759221,58.670859122803115,40.43532182787782,58.670859122803115,42.02102072308872,68.18505249406849,57.08516022759221,57.87800967519767,53.12091298956498,58.670859122803115,52.32806354195954,58.670859122803115,59.463708570408556,70.56360083688483,54.706611884775874,52.32806354195954,45.98526796111596,50.74236464674864,61.8422569132249,57.87800967519767,53.91376243717043,51.53521409435408,58.670859122803115,77.69924586533385,52.32806354195954,38.849622932666925,53.91376243717043,52.32806354195954,67.39220304646304,40.43532182787782,49.94951519914319,44.39956906590506,61.04940746561946,76.9063964177284,54.706611884775874,59.463708570408556,50.74236464674864,65.0136547036467,62.63510636083035,58.670859122803115,53.12091298956498,42.02102072308872,50.74236464674864,46.7781174087214,54.706611884775874,53.12091298956498,47.57096685632685,54.706611884775874,62.63510636083035
3,20.0,30.0,20.0-30.0Å,52.28633462366452,60.46520260948913,52.87053947979485,52.28633462366452,59.880997753358805,57.83628075690265,57.252075900772326,54.331051620120675,57.83628075690265,56.375768616576835,56.95997347270716,61.34150989368464,54.62315404818584,61.6336123217498,55.49946133238134,63.09412446207563,56.667871044642,52.578437051729686,58.12838318496782,58.12838318496782,58.12838318496782,54.331051620120675,61.049407465619474,50.533720055273534,65.13884145853179,57.83628075690265,59.004690469163315,53.45474433592518,63.09412446207563,52.578437051729686,50.8258224833387,62.50991960594529,55.49946133238134,65.13884145853179,61.049407465619474,49.94951519914321,56.08366618851167,56.667871044642,57.83628075690265,54.331051620120675,54.03894919205551,54.03894919205551,59.29679289722848,56.375768616576835,53.45474433592518,56.08366618851167,54.915256476251,51.99423219559936,60.46520260948913,53.74684676399035,61.6336123217498,52.87053947979485,57.54417832883749,61.34150989368464,59.29679289722848,57.83628075690265,51.41002733946903,54.915256476251,59.880997753358805,58.12838318496782,59.29679289722848,46.44428606236122,53.74684676399035,54.62315404818584,53.74684676399035,63.678329318205954,61.925714749814965,49.36531034301288,54.62315404818584,65.72304631466211,56.95997347270716,57.54417832883749,54.62315404818584,59.58889532529364,51.702129767534196,55.49946133238134,53.162641907860014,64.55463660240144,53.74684676399035,59.004690469163315
4,30.0,40.0,30.0-40.0Å,54.299472979248755,61.04940746561946,58.94942784763746,55.19946424409819,65.09936815744189,54.89946715581504,56.849448229655465,60.449413289053176,57.299443862080174,61.79940018632731,58.79942930349589,63.449384171884596,60.899408921477885,63.74938126016774,53.849477346824045,57.899438038646466,56.24945405308918,54.89946715581504,61.04940746561946,62.84938999531831,62.3993943628936,56.54945114137232,59.54942202420374,55.6494598765229,59.99941765662847,57.899438038646466,54.749468611673464,58.64943075935432,59.09942639177903,57.14944531793861,57.599440950363324,62.09939727461045,56.99944677379703,62.54939290703517,59.69942056834531,58.19943512692961,61.49940309804417,59.99941765662847,50.849506463992626,57.44944240622175,57.44944240622175,60.29941474491161,58.79942930349589,57.899438038646466,61.3494045539026,53.099484626116194,57.299443862080174,66.59935359885759,47.09954286045334,58.49943221521275,61.3494045539026,52.19949336126676,55.6494598765229,57.899438038646466,55.49946133238133,58.349433671071175,58.49943221521275,58.64943075935432,56.24945405308918,55.79945842066447,51.749497728842044,54.89946715581504,55.94945696480604,59.99941765662847,50.69950791985105,62.999388539459886,58.19943512692961,60.899408921477885,64.64937252501717,54.14947443510719,58.79942930349589,55.79945842066447,54.749468611673464,58.64943075935432,57.599440950363324,56.099455508947614,62.249395818752035,60.449413289053176,56.849448229655465,59.99941765662847
5,40.0,50.0,40.0-50.0Å,72.9681442435571,76.7894186303768,79.15496944126518,81.52052025215357,82.15739931662351,81.70248569914499,80.42872757020507,77.79022858882958,77.88121131232528,76.15253956590684,84.7049155745033,76.15253956590684,82.15739931662351,80.06479667622224,79.42791761175229,80.24676212321366,81.79346842264069,81.52052025215357,76.60745318338539,82.06641659312781,78.70005582378664,78.24514220630812,74.78779871347123,78.79103854728235,78.42710765329953,77.51728041834245,78.1541594828124,79.70086578223942,84.79589829799902,75.42467777794118,82.33936476361492,78.51809037679523,81.06560663467504,82.88526110458918,82.15739931662351,80.15577939971796,81.42953752865786,79.24595216476088,85.43277736246897,81.24757208166645,85.79670825645181,83.79508833954624,76.42548773639396,83.249191998572,77.69924586533386,77.97219403582099,82.06641659312781,80.06479667622224,80.15577939971796,77.79022858882958,76.7894186303768,83.79508833954624,78.42710765329953,79.88283122923083,79.15496944126518,79.42791761175229,80.88364118768361,77.06236680086393,82.79427838109346,80.88364118768361,79.3369348882566,79.3369348882566,71.23947249713866,79.70086578223942,84.43196740401619,89.34503447278438,84.7049155745033,76.51647045988967,83.06722655158059,86.88850093840028,79.70086578223942,84.6139328510076,81.52052025215357,84.25000195702478,85.6147428094604,75.6066432249326,77.15334952435963,77.15334952435963,85.25081191547756,77.79022858882958

