frame,radius,density
48,50.0,80.15760795507063
49,10.0,55.50072741497513
49,20.0,61.843667690972275
49,30.0,53.74807286502855
49,40.0,58.500766734703504
49,50.0,77.79200318000613
50,10.0,22.20029096599005
50,20.0,57.87933001847406
50,30.0,61.63501833978816
50,40.0,61.350804088445464
50,50.0,76.79117039055575
51,10.0,72.15094563946768
51,20.0,53.91499234597583
51,30.0,52.871745590055255
51,40.0,52.20068416327389
51,50.0,83.79699991670836
52,10.0,55.50072741497513
52,20.0,51.5363897424769
52,30.0,57.54549105657947
52,40.0,55.65072938096154
52,50.0,78.42889677329273
53,10.0,49.950654673477615
53,20.0,58.6721975529737
53,30.0,61.34290924813041
53,40.0,57.900758870757834
53,50.0,79.79366875890688
54,10.0,61.05080015647264
54,20.0,77.70101838096518
54,30.0,59.29814560652605
54,40.0,55.50072741497512
54,50.0,79.15677516562026
55,10.0,33.30043644898508
55,20.0,52.32925727697654
55,30.0,57.837600148237236
55,40.0,58.35076476871709
55,50.0,79.4297295627431
56,10.0,38.85050919048258
56,20.0,38.85050919048259
56,30.0,51.411200131766435
56,40.0,58.35076476871709
56,50.0,80.97647114643914
57,10.0,77.70101838096517
57,20.0,53.91499234597583
57,30.0,54.916509231659596
57,40.0,58.65076870068992
57,50.0,77.0641247876786
58,10.0,94.35123660545771
58,20.0,52.32925727697654
58,30.0,59.882363789841584
58,40.0,56.250737244907214
58,50.0,82.79616712725799
59,10.0,49.950654673477615
59,20.0,67.3937404324698
59,30.0,58.129709239895
59,40.0,55.80073134694795
59,50.0,80.8854863473982
60,10.0,44.4005819319801
60,20.0,40.436244259481875
60,30.0,59.29814560652605
60,40.0,51.75067826531465
60,50.0,79.33874476370215
61,10.0,61.05080015647264
61,20.0,49.950654673477615
61,30.0,46.44534557358445
61,40.0,54.90071955102945
61,50.0,79.33874476370215
62,10.0,38.85050919048258
62,20.0,44.4005819319801
62,30.0,53.74807286502855
62,40.0,55.95073331293438
62,50.0,71.24109764905825
63,10.0,49.950654673477615
63,20.0,61.05080015647264
63,30.0,54.624400140001846
63,40.0,60.000786394567704
63,50.0,79.70268395986594
64,10.0,55.50072741497513
64,20.0,76.90815084646553
64,30.0,53.74807286502855
64,40.0,50.700664503409705
64,50.0,84.43389350999496
65,10.0,61.05080015647264
65,20.0,54.70785988047548
65,30.0,63.679781981392516
65,40.0,63.000825714296084
65,50.0,89.34707265820587
66,10.0,55.50072741497513
66,20.0,59.46506508747335
66,30.0,61.92712743144594
66,40.0,58.20076280273067
66,50.0,84.70684790711779
67,10.0,77.70101838096517
67,20.0,50.74352220797725
67,30.0,49.36643649016208
67,40.0,60.90079819048621
67,50.0,76.51821599343293
68,10.0,55.50072741497513
68,20.0,65.01513782897085
68,30.0,54.624400140001846
68,40.0,64.6508473401467
68,50.0,83.06912152438082
69,10.0,61.05080015647264
69,20.0,62.636535225471924
69,30.0,65.72454562299686
69,40.0,54.15070972109736
69,50.0,86.89048308410041
70,10.0,72.15094563946768
70,20.0,58.6721975529737
70,30.0,56.961272873263944
70,40.0,58.80077066667636
70,50.0,79.70268395986594
71,10.0,33.30043644898508
71,20.0,53.12212481147619
71,30.0,57.54549105657947
71,40.0,55.80073134694795
71,50.0,84.61586310807684
72,10.0,33.30043644898508
72,20.0,42.021979328481166
72,30.0,54.624400140001846
72,40.0,54.75071758504303
72,50.0,81.52237994068479
73,10.0,49.950654673477615
73,20.0,50.74352220797725
73,30.0,59.59025469818383
73,40.0,58.65076870068992
73,50.0,84.25192391191308
74,10.0,105.45138208845275
74,20.0,46.77918453547903
74,30.0,51.70330922342419
74,40.0,57.60075493878499
74,50.0,85.61669589752721
75,10.0,88.8011638639602
75,20.0,54.70785988047548
75,30.0,55.50072741497513
75,40.0,56.1007352789208
75,50.0,75.51738320398256
76,10.0,27.750363707487566
76,20.0,53.12212481147619
76,30.0,53.16385468171302
76,40.0,62.25081588436399
76,50.0,77.15510958671953
77,10.0,66.60087289797016
77,20.0,47.57205206997868
77,30.0,64.55610925636581
77,40.0,60.45079229252696
77,50.0,77.15510958671953
78,10.0,16.65021822449254
78,20.0,54.70785988047548
78,30.0,53.74807286502855
78,40.0,56.8507451088529
78,50.0,85.25275670136345
79,10.0,44.4005819319801
79,20.0,62.636535225471924
79,30.0,59.006036514868285
79,40.0,60.000786394567704
79,50.0,77.79200318000613
80,10.0,27.750363707487566
80,20.0,51.5363897424769
80,30.0,51.995418315081956
80,40.0,57.0007470748393
80,50.0,76.427231194392
